kasrat_id	kasrat_name	fedb_id	fedb_name	score	name_score	status
tricep_dip_machine	Machine Tricep Dip	Dip_Machine	Dip Machine	0.74	0.64	match
wrist_curl	Wrist Curl	Palms-Down_Wrist_Curl_Over_A_Bench	Palms-Down Wrist Curl Over A Bench	0.84	0.78	match
reverse_wrist_curl	Reverse Wrist Curl	Reverse_Barbell_Curl	Reverse Barbell Curl	0.74	0.64	match
plate_pinch	Plate Pinch	Plate_Pinch	Plate Pinch	1.00	1.00	match
reverse_ez_curl	Reverse EZ-Bar Curl	EZ-Bar_Curl	EZ-Bar Curl	0.85	0.79	match
front_squat	Front Squat	Front_Barbell_Squat	Front Barbell Squat	0.95	0.92	match
hack_squat	Hack Squat	Hack_Squat	Hack Squat	1.00	1.00	match
goblet_squat	Goblet Squat	Goblet_Squat	Goblet Squat	0.84	1.00	match
smith_squat	Smith Machine Squat	Smith_Machine_Squat	Smith Machine Squat	1.00	1.00	match
box_squat	Box Squat	Box_Squat	Box Squat	1.00	1.00	match
pause_squat	Pause Squat	Barbell_Squat	Barbell Squat	0.63	0.49	match
pistol_squat	Pistol Squat	Kettlebell_Pistol_Squat	Kettlebell Pistol Squat	0.78	0.92	match
zercher_squat	Zercher Squat	Zercher_Squats	Zercher Squats	0.66	0.53	match
lunge	Lunge	Dumbbell_Rear_Lunge	Dumbbell Rear Lunge	0.89	0.84	match
walking_lunge	Walking Lunge	Barbell_Walking_Lunge	Barbell Walking Lunge	0.79	0.93	match
reverse_lunge	Reverse Lunge	Crossover_Reverse_Lunge	Crossover Reverse Lunge	0.66	0.92	match
lateral_lunge	Lateral Lunge	Dumbbell_Rear_Lunge	Dumbbell Rear Lunge	0.60	0.44	match
step_up	Step-Up	Step-up_with_Knee_Raise	Step-up with Knee Raise	0.74	0.86	match
leg_extension	Leg Extension	Single-Leg_Leg_Extension	Single-Leg Leg Extension	0.94	0.92	match
seated_leg_curl	Seated Leg Curl	Seated_Leg_Curl	Seated Leg Curl	1.00	1.00	match
lying_leg_curl	Lying Leg Curl	Lying_Leg_Curls	Lying Leg Curls	0.77	0.68	match
nordic_curl	Nordic Curl	Lower_Back_Curl	Lower Back Curl	0.48	0.45	low
glute_ham_raise	Glute-Ham Raise	Natural_Glute_Ham_Raise	Natural Glute Ham Raise	0.95	0.93	match
hip_thrust	Hip Thrust	Barbell_Hip_Thrust	Barbell Hip Thrust	0.94	0.92	match
glute_bridge	Glute Bridge	Barbell_Glute_Bridge	Barbell Glute Bridge	0.95	0.93	match
cable_kickback	Cable Glute Kickback	One-Legged_Cable_Kickback	One-Legged Cable Kickback	0.70	0.59	match
hip_abduction	Hip Abduction	Band_Hip_Adductions	Band Hip Adductions	0.46	0.47	low
hip_adduction	Hip Adduction	Cable_Hip_Adduction	Cable Hip Adduction	0.79	0.94	match
seated_calf_raise	Seated Calf Raise	Seated_Calf_Raise	Seated Calf Raise	1.00	1.00	match
standing_calf_raise	Standing Calf Raise	Rocking_Standing_Calf_Raise	Rocking Standing Calf Raise	0.80	0.94	match
leg_press_calf_raise	Leg Press Calf Raise	Calf_Press_On_The_Leg_Press_Machine	Calf Press On The Leg Press Machine	0.74	0.64	match
donkey_calf_raise	Donkey Calf Raise	Seated_Calf_Raise	Seated Calf Raise	0.74	0.64	match
sissy_squat	Sissy Squat	Weighted_Sissy_Squat	Weighted Sissy Squat	0.78	0.92	match
belt_squat	Belt Squat	Hack_Squat	Hack Squat	0.63	0.48	match
sumo_squat	Sumo Squat	Box_Squat	Box Squat	0.64	0.50	match
curtsy_lunge	Curtsy Lunge	Dumbbell_Rear_Lunge	Dumbbell Rear Lunge	0.59	0.43	match
single_leg_press	Single-Leg Press	Leg_Press	Leg Press	0.77	0.67	match
hanging_leg_raise	Hanging Leg Raise	Hanging_Leg_Raise	Hanging Leg Raise	1.00	1.00	match
hanging_knee_raise	Hanging Knee Raise	Hanging_Leg_Raise	Hanging Leg Raise	0.76	0.66	match
cable_crunch	Cable Crunch	Cable_Crunch	Cable Crunch	1.00	1.00	match
decline_situp	Decline Sit-Up	Sit-Up	Sit-Up	0.75	0.66	match
situp	Sit-Up	Sit-Up	Sit-Up	1.00	1.00	match
ab_wheel	Ab Wheel Rollout	Barbell_Ab_Rollout	Barbell Ab Rollout	0.57	0.62	match
mountain_climber	Mountain Climber	Mountain_Climbers	Mountain Climbers	0.39	0.54	low
bicycle_crunch	Bicycle Crunch	Decline_Crunch	Decline Crunch	0.64	0.50	match
side_plank	Side Plank	Push_Up_to_Side_Plank	Push Up to Side Plank	0.80	0.89	match
leg_raise	Lying Leg Raise	Flat_Bench_Lying_Leg_Raise	Flat Bench Lying Leg Raise	0.92	0.89	match
flutter_kicks	Flutter Kicks	Flutter_Kicks	Flutter Kicks	0.88	1.00	match
v_up	V-Up	V-Bar_Pullup	V-Bar Pullup	0.77	0.85	match
toe_touch	Toe Touch	Toe_Touchers	Toe Touchers	0.65	0.52	match
dead_bug	Dead Bug	Dead_Bug	Dead Bug	1.00	1.00	match
hollow_hold	Hollow Hold			-1.00	0.00	low
dragon_flag	Dragon Flag			-1.00	0.00	low
woodchopper	Woodchopper			-1.00	0.00	low
pallof_press	Pallof Press	Pallof_Press	Pallof Press	1.00	1.00	match
side_bend	DB Side Bend	Dumbbell_Side_Bend	Dumbbell Side Bend	1.00	1.00	match
reverse_crunch	Reverse Crunch	Reverse_Crunch	Reverse Crunch	1.00	1.00	match
oblique_crunch	Oblique Crunch	Decline_Oblique_Crunch	Decline Oblique Crunch	0.95	0.93	match
plank_shoulder_tap	Plank Shoulder Tap	Plank	Plank	0.53	0.35	match
treadmill_run	Treadmill Run	Jogging_Treadmill	Jogging, Treadmill	0.63	0.48	match
elliptical	Elliptical	Elliptical_Trainer	Elliptical Trainer	0.94	0.92	match
stair_climber	Stair Climber			-1.00	0.00	low
burpee	Burpee			-1.00	0.00	low
battle_ropes	Battle Ropes	Battling_Ropes	Battling Ropes	0.49	0.52	low
